"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"71","1","MF","GO:0004866","endopeptidase inhibitor activity","38/2071","106/14653",1.72284338184418e-08,7.83573705774571e-07,6.22005118402383e-07,38
"72","1","MF","GO:0046977","TAP binding","12/2071","15/14653",1.85413531201802e-08,7.83573705774571e-07,6.22005118402383e-07,12
"73","1","MF","GO:0046978","TAP1 binding","12/2071","15/14653",1.85413531201802e-08,7.83573705774571e-07,6.22005118402383e-07,12
"74","1","MF","GO:0005125","cytokine activity","43/2071","129/14653",2.4659562774044e-08,9.98712292348781e-07,7.92783311990098e-07,43
"75","1","MF","GO:0030246","carbohydrate binding","58/2071","199/14653",2.71163755281552e-08,1.05428468053468e-06,8.36896979458433e-07,58
"76","1","MF","GO:0019956","chemokine binding","16/2071","26/14653",3.11583593286846e-08,1.16484327951852e-06,9.24659003559748e-07,16
"77","1","MF","GO:0030414","peptidase inhibitor activity","39/2071","113/14653",3.73956865452742e-08,1.34624471562987e-06,1.06865646150823e-06,39
"78","1","MF","GO:0005539","glycosaminoglycan binding","53/2071","177/14653",3.97490807823553e-08,1.37986094715891e-06,1.09534121103257e-06,53
"79","1","MF","GO:0001614","purinergic nucleotide receptor activity","12/2071","16/14653",6.45619725273098e-08,2.08272974247656e-06,1.65328232752363e-06,12
"80","1","MF","GO:0016502","nucleotide receptor activity","12/2071","16/14653",6.45619725273098e-08,2.08272974247656e-06,1.65328232752363e-06,12
"81","1","MF","GO:0042288","MHC class I protein binding","16/2071","27/14653",6.64245082477091e-08,2.08272974247656e-06,1.65328232752363e-06,16
"82","1","MF","GO:0001784","phosphotyrosine residue binding","22/2071","47/14653",7.56417852602299e-08,2.29761922727948e-06,1.82386278275489e-06,22
"83","1","MF","GO:0050700","CARD domain binding","10/2071","12/14653",1.56716502583842e-07,4.61601334883317e-06,3.6642167908758e-06,10
"84","1","MF","GO:0001637","G protein-coupled chemoattractant receptor activity","12/2071","17/14653",1.9111191601909e-07,5.16002173251544e-06,4.09605363865477e-06,12
"85","1","MF","GO:0004950","chemokine receptor activity","12/2071","17/14653",1.9111191601909e-07,5.16002173251544e-06,4.09605363865477e-06,12
"86","1","MF","GO:0019957","C-C chemokine binding","12/2071","17/14653",1.9111191601909e-07,5.16002173251544e-06,4.09605363865477e-06,12
"87","1","MF","GO:0003953","NAD+ nucleosidase activity","12/2071","18/14653",4.99227941208511e-07,1.31148529420182e-05,1.04106424155288e-05,12
"88","1","MF","GO:0005518","collagen binding","25/2071","63/14653",5.19951119708957e-07,1.3299802325187e-05,1.05574562533702e-05,25
"89","1","MF","GO:0042610","CD8 receptor binding","10/2071","13/14653",5.92414325824188e-07,1.4764787812849e-05,1.1720369792959e-05,10
"90","1","MF","GO:0042609","CD4 receptor binding","9/2071","11/14653",9.30122398566127e-07,2.26019742851569e-05,1.79415715302361e-05,9
"91","1","MF","GO:0016493","C-C chemokine receptor activity","11/2071","16/14653",9.63742323444396e-07,2.28477448387306e-05,1.81366655477469e-05,11
"92","1","MF","GO:0004620","phospholipase activity","28/2071","79/14653",1.65968310686994e-06,3.84098090447044e-05,3.0489917727711e-05,28
"93","1","MF","GO:0042169","SH2 domain binding","19/2071","43/14653",1.75337135091225e-06,3.96343477462024e-05,3.14619632856469e-05,19
"94","1","MF","GO:0008047","enzyme activator activity","103/2071","468/14653",1.89266509242669e-06,4.1810692496335e-05,3.31895577212622e-05,103
"95","1","MF","GO:0019838","growth factor binding","41/2071","139/14653",2.03705595085483e-06,4.40004085384643e-05,3.49277663620255e-05,41
"96","1","MF","GO:0050135","NAD(P)+ nucleosidase activity","11/2071","17/14653",2.38023140372412e-06,4.9225211157869e-05,3.9075243425079e-05,11
"97","1","MF","GO:0061809","NAD+ nucleotidase, cyclic ADP-ribose generating","11/2071","17/14653",2.38023140372412e-06,4.9225211157869e-05,3.9075243425079e-05,11
"98","1","MF","GO:0008009","chemokine activity","15/2071","30/14653",3.2336476916029e-06,6.54813657549586e-05,5.19794683759851e-05,15
"99","1","MF","GO:0042379","chemokine receptor binding","18/2071","41/14653",3.67283642024246e-06,7.28570816423606e-05,5.7834352224226e-05,18
"100","1","MF","GO:0019865","immunoglobulin binding","10/2071","15/14653",4.7361496502374e-06,9.20707492006151e-05,7.30862672341898e-05,10
