Cluster,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue
-1,BP,GO:0017158,regulation of calcium ion-dependent exocytosis,27/1185,76/14849,1.05877398199978e-11,1.08043072254069e-09,9.51883402955784e-10
-1,BP,GO:0010976,positive regulation of neuron projection development,63/1185,319/14849,1.16663336126073e-11,1.16404084268015e-09,1.02554577113867e-09
-1,BP,GO:0050905,neuromuscular process,32/1185,109/14849,4.48371092683519e-11,4.37649175249782e-09,3.85578619291685e-09
-1,BP,GO:0035249,synaptic transmission, glutamatergic,30/1185,98/14849,5.69292487136463e-11,5.43856014306962e-09,4.79149197459984e-09
-1,BP,GO:0098693,regulation of synaptic vesicle cycle,20/1185,46/14849,7.04931319831012e-11,6.59404505425259e-09,5.80949978053715e-09
-1,BP,GO:0045666,positive regulation of neuron differentiation,71/1185,398/14849,8.04850918628311e-11,7.37506249926759e-09,6.49759345264274e-09
-1,BP,GO:0022604,regulation of cell morphogenesis,80/1185,476/14849,1.05903245276533e-10,9.51011142583265e-09,8.37861885787812e-09
-1,BP,GO:0051640,organelle localization,80/1185,483/14849,2.19397816423836e-10,1.93156116812358e-08,1.70174818187983e-08
-1,BP,GO:0050773,regulation of dendrite development,40/1185,169/14849,2.75718119404278e-10,2.3807199156254e-08,2.09746698931432e-08
-1,BP,GO:0060079,excitatory postsynaptic potential,25/1185,75/14849,2.97749325135393e-10,2.52244239595833e-08,2.22232763427767e-08
-1,BP,GO:0035418,protein localization to synapse,18/1185,40/14849,3.16407348735694e-10,2.63086851078383e-08,2.31785344356479e-08
-1,BP,GO:0048588,developmental cell growth,47/1185,221/14849,3.81705417104264e-10,3.11610422326935e-08,2.74535685641689e-08
-1,BP,GO:0007626,locomotory behavior,46/1185,214/14849,4.05066348218564e-10,3.24776411339527e-08,2.86135213647625e-08
-1,BP,GO:0001505,regulation of neurotransmitter levels,53/1185,269/14849,5.59268734914762e-10,4.40546775397769e-08,3.8813146921693e-08
-1,BP,GO:0007215,glutamate receptor signaling pathway,25/1185,78/14849,7.65414047129082e-10,5.92536046829238e-08,5.22037384593665e-08
-1,BP,GO:0036465,synaptic vesicle recycling,20/1185,52/14849,9.95087918611546e-10,7.57278771960312e-08,6.67179375226082e-08
-1,BP,GO:0050769,positive regulation of neurogenesis,79/1185,492/14849,1.27538385922715e-09,9.54412254654984e-08,8.40858340872917e-08
-1,BP,GO:0017157,regulation of exocytosis,40/1185,178/14849,1.42950089254485e-09,1.05220639467645e-07,9.27017144811654e-08
-1,BP,GO:0016082,synaptic vesicle priming,12/1185,19/14849,1.88006704315767e-09,1.36153242318999e-07,1.19954022889415e-07
-1,BP,GO:0046928,regulation of neurotransmitter secretion,21/1185,59/14849,2.01306773949417e-09,1.43471018259187e-07,1.26401145614354e-07
-1,BP,GO:2000300,regulation of synaptic vesicle exocytosis,14/1185,27/14849,2.94125239730277e-09,2.06347238498272e-07,1.81796488635918e-07
-1,BP,GO:0030534,adult behavior,36/1185,154/14849,3.06799695454134e-09,2.11927789629086e-07,1.86713077816459e-07
-1,BP,GO:0031346,positive regulation of cell projection organization,68/1185,406/14849,3.20919233351978e-09,2.18322326931876e-07,1.92346806847964e-07
-1,BP,GO:0010770,positive regulation of cell morphogenesis involved in differentiation,37/1185,162/14849,3.67399085085756e-09,2.46212222691798e-07,2.16918422899021e-07
-1,BP,GO:1902803,regulation of synaptic vesicle transport,14/1185,28/14849,5.45088399571541e-09,3.59918663834738e-07,3.17096316654776e-07
-1,BP,GO:1904062,regulation of cation transmembrane transport,51/1185,271/14849,6.10126827018426e-09,3.97024558451121e-07,3.4978743187418e-07
-1,BP,GO:0009150,purine ribonucleotide metabolic process,63/1185,376/14849,1.20835452496524e-08,7.75073116727702e-07,6.82856587190881e-07
-1,BP,GO:0051588,regulation of neurotransmitter transport,26/1185,95/14849,1.50239700250489e-08,9.39187952954942e-07,8.27445393788459e-07
-1,BP,GO:0048172,regulation of short-term neuronal synaptic plasticity,11/1185,18/14849,1.50604749694334e-08,9.39187952954942e-07,8.27445393788459e-07
-1,BP,GO:0035725,sodium ion transmembrane transport,25/1185,89/14849,1.59657677356639e-08,9.82004070316864e-07,8.65167341753786e-07
-1,BP,GO:0006163,purine nucleotide metabolic process,64/1185,388/14849,1.72072455963834e-08,1.04406125307786e-06,9.19841094611789e-07
-1,BP,GO:1990138,neuron projection extension,36/1185,165/14849,2.14287966083408e-08,1.28287062361933e-06,1.13023744075992e-06
-1,BP,GO:0009259,ribonucleotide metabolic process,63/1185,386/14849,3.35086884005459e-08,1.97965803840067e-06,1.74412259015584e-06
-1,BP,GO:0048791,calcium ion-regulated exocytosis of neurotransmitter,15/1185,36/14849,3.48161530370024e-08,2.03018866410573e-06,1.7886411908825e-06
-1,BP,GO:0072521,purine-containing compound metabolic process,67/1185,424/14849,4.48450731713747e-08,2.58146639153169e-06,2.27432908202464e-06
-1,BP,GO:1902600,proton transmembrane transport,21/1185,69/14849,4.82432849188564e-08,2.74192847197045e-06,2.4156997298476e-06
-1,BP,GO:0048488,synaptic vesicle endocytosis,16/1185,42/14849,5.56568911482629e-08,3.12374301569625e-06,2.75208680177858e-06
-1,BP,GO:0001508,action potential,29/1185,121/14849,5.77172630432562e-08,3.1993890254842e-06,2.81873261230093e-06
-1,BP,GO:0032409,regulation of transporter activity,43/1185,226/14849,6.80740500870574e-08,3.72746932793765e-06,3.28398305811504e-06
-1,BP,GO:1903305,regulation of regulated secretory pathway,28/1185,116/14849,8.27903007474469e-08,4.43889305926362e-06,3.91076312664698e-06
-1,BP,GO:0097120,receptor localization to synapse,15/1185,38/14849,8.30438790597203e-08,4.43889305926362e-06,3.91076312664698e-06
-1,BP,GO:0072657,protein localization to membrane,68/1185,442/14849,1.02509910914468e-07,5.4149352941878e-06,4.77067795933835e-06
-1,BP,GO:0019693,ribose phosphate metabolic process,63/1185,398/14849,1.06627943345045e-07,5.56697053045642e-06,4.90462437075495e-06
-1,BP,GO:0060291,long-term synaptic potentiation,23/1185,85/14849,1.27066930878766e-07,6.50552793340356e-06,5.73151423601702e-06
-1,BP,GO:0050770,regulation of axonogenesis,37/1185,184/14849,1.29541423689455e-07,6.50552793340356e-06,5.73151423601702e-06
-1,BP,GO:0015991,ATP hydrolysis coupled proton transport,11/1185,21/14849,1.33298122466175e-07,6.50552793340356e-06,5.73151423601702e-06
-1,BP,GO:0090662,ATP hydrolysis coupled transmembrane transport,11/1185,21/14849,1.33298122466175e-07,6.50552793340356e-06,5.73151423601702e-06
-1,BP,GO:0099131,ATP hydrolysis coupled ion transmembrane transport,11/1185,21/14849,1.33298122466175e-07,6.50552793340356e-06,5.73151423601702e-06
-1,BP,GO:0099132,ATP hydrolysis coupled cation transmembrane transport,11/1185,21/14849,1.33298122466175e-07,6.50552793340356e-06,5.73151423601702e-06
-1,BP,GO:0007411,axon guidance,37/1185,185/14849,1.49734242277135e-07,7.22910481531545e-06,6.36900149946207e-06
-1,BP,GO:0106027,neuron projection organization,23/1185,86/14849,1.60516256359787e-07,7.66721267080261e-06,6.75498422620472e-06
-1,BP,GO:0061001,regulation of dendritic spine morphogenesis,16/1185,45/14849,1.71797463357834e-07,8.11969063659659e-06,7.1536273384902e-06
-1,BP,GO:0051966,regulation of synaptic transmission, glutamatergic,20/1185,68/14849,1.88291700031085e-07,8.80655972020385e-06,7.75877421838614e-06
-1,BP,GO:0009117,nucleotide metabolic process,73/1185,495/14849,1.9549612317377e-07,9.04925353660027e-06,7.97259284739041e-06
-1,BP,GO:0097485,neuron projection guidance,37/1185,187/14849,1.99254579772998e-07,9.1291128895996e-06,8.04295070662649e-06
-1,BP,GO:0043270,positive regulation of ion transport,44/1185,244/14849,2.38883313752653e-07,1.08342028156506e-05,9.5451727068843e-06
-1,BP,GO:0060997,dendritic spine morphogenesis,19/1185,63/14849,2.45394964230046e-07,1.10182338939291e-05,9.70730816396328e-06
-1,BP,GO:0060359,response to ammonium ion,22/1185,82/14849,2.79765299581243e-07,1.24370910407899e-05,1.09573527444118e-05
-1,BP,GO:0022898,regulation of transmembrane transporter activity,40/1185,214/14849,3.16872925363783e-07,1.39486219106214e-05,1.2289044927937e-05
-1,BP,GO:0097061,dendritic spine organization,22/1185,83/14849,3.52317259456937e-07,1.53582960675888e-05,1.35309990908448e-05
-1,BP,GO:0007613,memory,28/1185,124/14849,3.68569781243947e-07,1.59122915171665e-05,1.40190813554125e-05
-1,BP,GO:0008306,associative learning,22/1185,84/14849,4.41793429369603e-07,1.88919285511383e-05,1.66442075946964e-05
-1,BP,GO:0060560,developmental growth involved in morphogenesis,42/1185,233/14849,4.51671304227242e-07,1.91321146790596e-05,1.68558168945976e-05
-1,BP,GO:0032412,regulation of ion transmembrane transporter activity,39/1185,209/14849,4.64166102889728e-07,1.94776243175222e-05,1.71602185406748e-05
-1,BP,GO:0099175,regulation of postsynapse organization,19/1185,66/14849,5.49696910438678e-07,2.28531400728673e-05,2.0134122703982e-05
-1,BP,GO:0050772,positive regulation of axonogenesis,23/1185,92/14849,5.99786263515837e-07,2.47067919558358e-05,2.17672310795994e-05
-1,BP,GO:0007214,gamma-aminobutyric acid signaling pathway,11/1185,24/14849,7.53612642987926e-07,3.04839708740161e-05,2.68570536969998e-05
-1,BP,GO:0015988,energy coupled proton transmembrane transport, against electrochemical gradient,11/1185,24/14849,7.53612642987926e-07,3.04839708740161e-05,2.68570536969998e-05
-1,BP,GO:0098815,modulation of excitatory postsynaptic potential,15/1185,44/14849,7.81061692253655e-07,3.13122053412403e-05,2.75867466117409e-05
-1,BP,GO:0001956,positive regulation of neurotransmitter secretion,9/1185,16/14849,8.70994789153965e-07,3.4608554011516e-05,3.04909028191952e-05
-1,BP,GO:0051899,membrane depolarization,21/1185,81/14849,9.64471760487121e-07,3.79866509174313e-05,3.34670810333389e-05
-1,BP,GO:0050805,negative regulation of synaptic transmission,20/1185,75/14849,1.07341207755122e-06,4.19097411148259e-05,3.69234104113271e-05
-1,BP,GO:0006814,sodium ion transport,32/1185,161/14849,1.18071310497719e-06,4.57017400116172e-05,4.02642454492222e-05
-1,BP,GO:0051932,synaptic transmission, GABAergic,16/1185,51/14849,1.2050309774418e-06,4.62443511855871e-05,4.07422979147665e-05
-1,BP,GO:0035637,multicellular organismal signaling,26/1185,117/14849,1.32048846690216e-06,5.02457052236501e-05,4.42675794702794e-05
-1,BP,GO:0099173,postsynapse organization,25/1185,110/14849,1.35346885768008e-06,5.10678585796939e-05,4.49919147913467e-05
-1,BP,GO:1990778,protein localization to cell periphery,45/1185,269/14849,1.54111645206488e-06,5.76634405814277e-05,5.08027686566652e-05
-1,BP,GO:0071804,cellular potassium ion transport,31/1185,157/14849,1.99896074859282e-06,7.35683095178832e-05,6.48153105540277e-05
-1,BP,GO:0071805,potassium ion transmembrane transport,31/1185,157/14849,1.99896074859282e-06,7.35683095178832e-05,6.48153105540277e-05
-1,BP,GO:0008088,axo-dendritic transport,17/1185,59/14849,2.12946162123485e-06,7.77340055231258e-05,6.84853810235393e-05
-1,BP,GO:0060627,regulation of vesicle-mediated transport,66/1185,461/14849,2.17537933731376e-06,7.8769784068861e-05,6.9397924869483e-05
-1,BP,GO:0010970,transport along microtubule,28/1185,135/14849,2.26157972144985e-06,8.05912138834112e-05,7.10026448889601e-05
-1,BP,GO:0099111,microtubule-based transport,28/1185,135/14849,2.26157972144985e-06,8.05912138834112e-05,7.10026448889601e-05
-1,BP,GO:0051668,localization within membrane,27/1185,128/14849,2.42977090014691e-06,8.59029239500759e-05,7.56823791359477e-05
-1,BP,GO:0006816,calcium ion transport,52/1185,335/14849,2.49999806509096e-06,8.76952446270189e-05,7.72614533602947e-05
-1,BP,GO:0032386,regulation of intracellular transport,57/1185,381/14849,2.73347130113969e-06,9.50671279484548e-05,8.37562458868346e-05
-1,BP,GO:0050885,neuromuscular process controlling balance,17/1185,60/14849,2.75250036376372e-06,9.50671279484548e-05,8.37562458868346e-05
-1,BP,GO:0010959,regulation of metal ion transport,52/1185,338/14849,3.266375913525e-06,0.000111954411081887,9.86343164566247e-05
-1,BP,GO:0019226,transmission of nerve impulse,19/1185,74/14849,3.67823398510498e-06,0.000125115686311526,0.000110229691515347
-1,BP,GO:0060996,dendritic spine development,25/1185,116/14849,3.78345220330556e-06,0.000127727070622872,0.000112530378947545
-1,BP,GO:0002028,regulation of sodium ion transport,20/1185,82/14849,4.8403868232352e-06,0.000162189080868105,0.000142892173462041
-1,BP,GO:0009152,purine ribonucleotide biosynthetic process,37/1185,214/14849,5.91928885783301e-06,0.000196871162753113,0.000173447855966756
-1,BP,GO:2000463,positive regulation of excitatory postsynaptic potential,11/1185,29/14849,7.19066135461796e-06,0.000237397569722313,0.000209152518348717
-1,BP,GO:0006813,potassium ion transport,34/1185,191/14849,7.31221611420025e-06,0.000239648542720869,0.000211135675429616
-1,BP,GO:0030705,cytoskeleton-dependent intracellular transport,29/1185,151/14849,7.48976967895644e-06,0.000243688883032713,0.000214695304756051
-1,BP,GO:0050432,catecholamine secretion,15/1185,52/14849,8.28553977298824e-06,0.000267640817127462,0.000235797489336538
-1,BP,GO:0031110,regulation of microtubule polymerization or depolymerization,19/1185,78/14849,8.47977067796562e-06,0.000271958359600469,0.000239601339908232
-1,BP,GO:0140029,exocytic process,19/1185,79/14849,1.03404322595375e-05,0.000329280431527116,0.000290103355217185
-1,BP,GO:0045956,positive regulation of calcium ion-dependent exocytosis,10/1185,25/14849,1.08363584754005e-05,0.000342642602496817,0.000301875723873647
-1,BP,GO:0050775,positive regulation of dendrite morphogenesis,14/1185,47/14849,1.09714851241567e-05,0.000344489288164081,0.000303502694858895
-1,BP,GO:0006164,purine nucleotide biosynthetic process,37/1185,221/14849,1.25974598999356e-05,0.000392795798268824,0.000346061800467528
-1,BP,GO:0018209,peptidyl-serine modification,45/1185,291/14849,1.29109102977064e-05,0.000399617559851422,0.000352071923554482
-1,BP,GO:0048169,regulation of long-term neuronal synaptic plasticity,12/1185,36/14849,1.29942458214494e-05,0.000399617559851422,0.000352071923554482
-1,BP,GO:0051952,regulation of amine transport,20/1185,88/14849,1.5109770704486e-05,0.000461516125599606,0.000406605931310121
-1,BP,GO:0009260,ribonucleotide biosynthetic process,37/1185,223/14849,1.55033495113431e-05,0.000470338103418449,0.000414378289214988
-1,BP,GO:0014046,dopamine secretion,10/1185,26/14849,1.63536218851715e-05,0.000489518415096132,0.000431276568733153
-1,BP,GO:0014059,regulation of dopamine secretion,10/1185,26/14849,1.63536218851715e-05,0.000489518415096132,0.000431276568733153
-1,BP,GO:0016049,cell growth,61/1185,442/14849,1.67874470570469e-05,0.00049917640586848,0.000439785472571503
-1,BP,GO:0044089,positive regulation of cellular component biogenesis,64/1185,471/14849,1.72015154516302e-05,0.000508123713011971,0.000447668248387993
-1,BP,GO:0010765,positive regulation of sodium ion transport,12/1185,37/14849,1.78436716696846e-05,0.000520247310369375,0.000458349406252048
-1,BP,GO:0086010,membrane depolarization during action potential,12/1185,37/14849,1.78436716696846e-05,0.000520247310369375,0.000458349406252048
-1,BP,GO:0050433,regulation of catecholamine secretion,14/1185,49/14849,1.86421622768558e-05,0.00054002134595537,0.000475770769687089
-1,BP,GO:0071242,cellular response to ammonium ion,13/1185,43/14849,1.88885558637439e-05,0.000543651383514168,0.000478968913198041
-1,BP,GO:0046390,ribose phosphate biosynthetic process,37/1185,226/14849,2.10270262019159e-05,0.000597540174978496,0.000526446132357095
-1,BP,GO:0072522,purine-containing compound biosynthetic process,37/1185,226/14849,2.10270262019159e-05,0.000597540174978496,0.000526446132357095
-1,BP,GO:0018105,peptidyl-serine phosphorylation,41/1185,261/14849,2.12245234527846e-05,0.000599359184295616,0.000528048719864711
-1,BP,GO:0014047,glutamate secretion,11/1185,32/14849,2.14460415982177e-05,0.000601829542349984,0.000530225160040145
-1,BP,GO:0033555,multicellular organismal response to stress,19/1185,83/14849,2.20074046947421e-05,0.000613746876269515,0.000540724595245771
-1,BP,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,10/1185,27/14849,2.41229068454692e-05,0.000668591677383683,0.000589044080086245
-1,BP,GO:0046785,microtubule polymerization,17/1185,70/14849,2.60913772312717e-05,0.000718713397352209,0.00063320242579993
-1,BP,GO:0072659,protein localization to plasma membrane,38/1185,237/14849,2.64316166166596e-05,0.000722400316248347,0.000636450683029256
-1,BP,GO:0031109,microtubule polymerization or depolymerization,22/1185,106/14849,2.6547004940084e-05,0.000722400316248347,0.000636450683029256
-1,BP,GO:0015837,amine transport,20/1185,92/14849,3.01849456204218e-05,0.000816448227925867,0.000719308976801174
-1,BP,GO:0001662,behavioral fear response,13/1185,45/14849,3.24363585934925e-05,0.000872091317872943,0.000768331771789126
-1,BP,GO:0008542,visual learning,15/1185,58/14849,3.48983181505856e-05,0.000932699098191245,0.000821728568984339
-1,BP,GO:2001257,regulation of cation channel activity,26/1185,139/14849,3.52014536838492e-05,0.000935233887813509,0.000823961774798539
-1,BP,GO:0008344,adult locomotory behavior,20/1185,93/14849,3.56142939848919e-05,0.000940636352895085,0.000828721466224295
-1,BP,GO:0070838,divalent metal ion transport,53/1185,378/14849,3.85422051848861e-05,0.00101201462736923,0.00089160730738567
-1,BP,GO:0072511,divalent inorganic cation transport,53/1185,379/14849,4.14292178084523e-05,0.00108149527883692,0.000952821300637477
-1,BP,GO:0002209,behavioral defense response,13/1185,46/14849,4.19411960266547e-05,0.00108853161942011,0.000959020472577842
-1,BP,GO:0060998,regulation of dendritic spine development,19/1185,87/14849,4.42790083988464e-05,0.00114260199833805,0.0010066576743065
-1,BP,GO:0070588,calcium ion transmembrane transport,36/1185,225/14849,4.46537509605592e-05,0.00114568766750235,0.00100937621720169
-1,BP,GO:0072384,organelle transport along microtubule,16/1185,66/14849,4.58387579645833e-05,0.00116940922307374,0.00103027543319919
-1,BP,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,14/1185,53/14849,4.90705631875376e-05,0.00123237691074508,0.00108575136105498
-1,BP,GO:1902305,regulation of sodium ion transmembrane transport,14/1185,53/14849,4.90705631875376e-05,0.00123237691074508,0.00108575136105498
-1,BP,GO:0009167,purine ribonucleoside monophosphate metabolic process,36/1185,226/14849,4.91303935464074e-05,0.00123237691074508,0.00108575136105498
-1,BP,GO:0007632,visual behavior,15/1185,60/14849,5.36257377128404e-05,0.00133247299268573,0.00117393822682287
-1,BP,GO:0031113,regulation of microtubule polymerization,13/1185,47/14849,5.37825560776095e-05,0.00133247299268573,0.00117393822682287
-1,BP,GO:0009126,purine nucleoside monophosphate metabolic process,36/1185,227/14849,5.40111547146554e-05,0.00133247299268573,0.00117393822682287
-1,BP,GO:0060080,inhibitory postsynaptic potential,8/1185,19/14849,5.46465932918464e-05,0.00134078253486552,0.00118125911757699
-1,BP,GO:0061003,positive regulation of dendritic spine morphogenesis,9/1185,24/14849,5.53467872027176e-05,0.00135058192684892,0.00118989259901495
-1,BP,GO:0070507,regulation of microtubule cytoskeleton organization,30/1185,177/14849,6.41913316708552e-05,0.00155794096866022,0.00137258050878563
-1,BP,GO:0043624,cellular protein complex disassembly,23/1185,120/14849,6.5976566692198e-05,0.00159266013144069,0.00140316886038076
-1,BP,GO:0042596,fear response,13/1185,48/14849,6.8424773658713e-05,0.00164292638357017,0.00144745454213028
-1,BP,GO:0009161,ribonucleoside monophosphate metabolic process,36/1185,230/14849,7.14107366441033e-05,0.00170550110389374,0.0015025842570467
-1,BP,GO:0048675,axon extension,23/1185,121/14849,7.5421886291485e-05,0.00179176862142205,0.00157858785120245
-1,BP,GO:0045773,positive regulation of axon extension,13/1185,49/14849,8.64018277688283e-05,0.00204181161411599,0.00179888126734214
-1,BP,GO:0051937,catecholamine transport,15/1185,63/14849,9.81271334088438e-05,0.00230675826704559,0.00203230513833252
-1,BP,GO:0009144,purine nucleoside triphosphate metabolic process,36/1185,235/14849,0.000111952425554723,0.00261805411844117,0.00230656368001452
-1,BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,26/1185,149/14849,0.000118203772891405,0.00274992197037517,0.00242274217903408
-1,BP,GO:0009165,nucleotide biosynthetic process,39/1185,263/14849,0.000120787596901321,0.00279554799013881,0.0024629397132673
-1,BP,GO:0009205,purine ribonucleoside triphosphate metabolic process,35/1185,227/14849,0.000121616129419799,0.0028002893389482,0.00246711694661056
-1,BP,GO:0030004,cellular monovalent inorganic cation homeostasis,18/1185,86/14849,0.000124860216231473,0.00286031821877201,0.00252000371964488
-1,BP,GO:0051646,mitochondrion localization,11/1185,38/14849,0.000128092137004092,0.00291946038146383,0.00257210927524114
-1,BP,GO:1900449,regulation of glutamate receptor signaling pathway,12/1185,45/14849,0.000152393403231625,0.00343842402266331,0.00302932774051546
-1,BP,GO:2000649,regulation of sodium ion transmembrane transporter activity,12/1185,45/14849,0.000152393403231625,0.00343842402266331,0.00302932774051546
-1,BP,GO:0030073,insulin secretion,29/1185,177/14849,0.000156150249406606,0.00350557309917831,0.00308848756457909
-1,BP,GO:0009123,nucleoside monophosphate metabolic process,36/1185,239/14849,0.000158235549148357,0.00353471450585136,0.0031141617894712
-1,BP,GO:0034764,positive regulation of transmembrane transport,29/1185,178/14849,0.000172638115273279,0.0038194903625936,0.00336505562832652
-1,BP,GO:0009199,ribonucleoside triphosphate metabolic process,35/1185,231/14849,0.000172685199021492,0.0038194903625936,0.00336505562832652
-1,BP,GO:1900006,positive regulation of dendrite development,19/1185,96/14849,0.000178860207615319,0.00393667809898422,0.00346830062032181
-1,BP,GO:0008277,regulation of G-protein coupled receptor protein signaling pathway,20/1185,104/14849,0.000184129395682203,0.00403288286152728,0.00355305914749021
-1,BP,GO:0007019,microtubule depolymerization,12/1185,46/14849,0.000191376535186319,0.00414127798509683,0.00364855765279425
-1,BP,GO:0019932,second-messenger-mediated signaling,40/1185,278/14849,0.000191694510764841,0.00414127798509683,0.00364855765279425
